ID,Player,Team,Position,Year,Week,Home,Atts,Comps,Comp %,Yards,Yards per Att,Yards per Comp,Ints,TDs,Two Pts,Two Pt Atts,Tgt,Rec,Rec %,Yards,Yards per Tgt,Yards per Rec,Yards after Catch,TDs,Two Pts,Carries,Yards,YPC,Yards after Catch,TDs,Two Pts,Fumbles,Fumbles Lost,Fantasy Pts,passingAttsGm,passingCmpsGm,passingCmpPerGm,passingYardsGm,passingIntsGm,passingTDsGm,passingTwoPtsGm,passingTwoPtAttsGm,yardsPerAttGm,yardsPerCmpGm,receivingTargetsGm,receivingReceptionsGm,receivingYardsGm,receivingYardsAfterCatchGm,receivingTDsGm,receivingTwoPtsGm,catchPerGm,yardsPerTarGm,yardsPerCatGm,rushingAttemptsGm,rushingYardsGm,rushingYardsAfterContactGm,rushingTDsGm,rushingTwoPtsGm,yardsPerCarryGm,fumblesGm,fumblesLostGm,fantasyPtsGmattemptsTot,completionsTot,pYardsTot,interceptionsTot,pTdsTot,pTwoPtsTot,pTwoPtAttsTot,targetsTot,receptionsTot,rYardsTot,yardsAfterCatchTot,rTdsTot,rTwoPtsTot,carriesTot,ruYardsTot,yardsAfterContactTot,ruTdsTot,ruTwoPtsTot,fumblesTot,fumblesLostTot,fantasyPtsTotal
00-0025399,Marshawn Lynch,OAK,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,2,1,0.0,16,8.0,0.0,18,0,0,18,76,4.0,0,0,0,0,0,9.200000000000001,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,2.0,1.0,16.0,18.0,0.0,0.0,0.5,8.0,16.0,18.0,76.0,0.0,0.0,0.0,Infinity,0.0,0.0,9.2000000000000010.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16.0,18.0,0.0,0.0,18.0,76.0,0.0,0.0,0.0,0.0,0.0,9.200000000000001
00-0025418,Greg Olsen,CAR,TE,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,4,2,0.0,18,4.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1.8,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,4.0,2.0,18.0,0.0,0.0,0.0,0.5,4.5,9.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,1.80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
00-0025549,Brent Celek,PHI,TE,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,2,1,0.0,11,5.0,0.0,13,0,0,0,0,0.0,0,0,0,0,0,1.1,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,2.0,1.0,11.0,13.0,0.0,0.0,0.5,5.5,11.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,1.10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
00-0026019,Danny Woodhead,BAL,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,3,3,1.0,33,11.0,0.0,11,0,0,1,4,4.0,0,0,0,0,0,3.7,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,3.0,3.0,33.0,11.0,0.0,0.0,1.0,11.0,11.0,1.0,4.0,0.0,0.0,0.0,Infinity,0.0,0.0,3.70.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,33.0,11.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.7
00-0026035,Danny Amendola,NE,WR,2017,1,true,0,0,0.0,0,0.0,0.0,0,0,0,0,7,6,0.0,100,14.0,0.0,49,0,0,0,0,0.0,0,0,0,1,0,9.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,7.0,6.0,100.0,49.0,0.0,0.0,0.8571428571428571,14.285714285714286,16.666666666666668,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,9.00.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,100.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
00-0026143,Matt Ryan,ATL,QB,2017,1,false,30,21,0.0,321,10.0,15.0,0,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,3,11,3.0,0,0,0,0,0,17.94,30.0,21.0,1.4285714285714286,321.0,0.0,1.0,0.0,0.0,10.7,15.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,3.0,11.0,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,17.9430.0,21.0,321.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,17.94
00-0026153,Jonathan Stewart,CAR,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,2,2,1.0,17,8.0,0.0,17,1,0,18,65,3.0,0,0,0,0,0,14.2,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,2.0,2.0,17.0,17.0,1.0,0.0,1.0,8.5,8.5,18.0,65.0,0.0,1.0,0.0,Infinity,0.0,0.0,14.20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,17.0,1.0,0.0,18.0,65.0,0.0,0.0,0.0,0.0,0.0,14.2
00-0026158,Joe Flacco,BAL,QB,2017,1,false,17,9,0.0,121,7.0,13.0,1,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,6.84,17.0,9.0,1.8888888888888888,121.0,1.0,1.0,0.0,0.0,7.117647058823529,13.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8417.0,9.0,121.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84
00-0026176,Jordy Nelson,GB,WR,2017,1,true,0,0,0.0,0,0.0,0.0,0,0,0,0,8,7,0.0,79,9.0,0.0,6,1,0,0,0,0.0,0,0,0,0,0,13.9,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,8.0,7.0,79.0,6.0,1.0,0.0,0.875,9.875,11.285714285714286,0.0,0.0,0.0,1.0,0.0,NaN,0.0,0.0,13.90.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,79.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9
00-0026184,Matt Forte,NYJ,RB,2017,1,false,0,0,0.0,0,0.0,0.0,0,0,0,0,5,3,0.0,20,4.0,0.0,26,0,0,6,16,2.0,0,0,0,0,0,3.6,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,5.0,3.0,20.0,26.0,0.0,0.0,0.6,4.0,6.666666666666667,6.0,16.0,0.0,0.0,0.0,Infinity,0.0,0.0,3.60.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,20.0,26.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,3.6
